,auteurs,url,tags,0,1,2,3,4,5,6
10,Antonio A. CASILLI,https://www.millenaire3.com/ressources/Qui-menace-la-vie-privee,Numérique_Usage,Numérique,Usage,,,,,
11,Nicolas NOVA,https://www.millenaire3.com/dossiers/2019/intelligence-artificielle-ia/Collaboration-humain-machine-grace-a-l-intelligence-artificielle,Numérique_Innovation,Numérique,Innovation,,,,,
12,Aurélien BOUTAUD,https://www.millenaire3.com/ressources/inegalites-et-solidarites-ecologiques,Solidarité_Transition_Valeurs_Inclusion_Économie,Solidarité,Transition,Valeurs,Inclusion,Économie,,
13,Claire HARPET,https://www.millenaire3.com/ressources/inegalites-et-solidarites-ecologiques,Solidarité_Transition_Valeurs_Inclusion_Économie,Solidarité,Transition,Valeurs,Inclusion,Économie,,
14,Philippe JURY,https://www.millenaire3.com/ressources/inegalites-et-solidarites-ecologiques,Solidarité_Transition_Valeurs_Inclusion_Économie,Solidarité,Transition,Valeurs,Inclusion,Économie,,
15,Geneviève BERNARDIN,https://www.millenaire3.com/ressources/Espaces-intermediaires-ou-espaces-de-transition-de-l-espace-prive-a-l-espace-public,Cadre de vie_Usage,Cadre de vie,Usage,,,,,
16,Julie JEAMMAUD,https://www.millenaire3.com/dossiers/2022/cycle-veille-m3-energie-quels-nouveaux-modes-de-vie-dans-un-monde-plus-sobre/veille-m3-a-l-ombre-de-la-puissance-quelles-alternatives-citoyennes-aux-modeles-energetiques-dominants,Citoyenneté_Veille M3,Citoyenneté,Veille M3,,,,,
17,Jean-Marc BERTHET,https://www.millenaire3.com/dossiers/2023/action-publique-comment-penser-la-solidarite-depuis-un-territoire/de-l-exclusion-a-l-inclusion,Inclusion_Cohésion sociale,Inclusion,Cohésion sociale,,,,,
20,Catherine PANASSIER,https://www.millenaire3.com/ressources/La-politique-de-la-ville-dans-les-annees-1990,Politique de la ville,Politique de la ville,,,,,,
21,Caroline JANUEL,https://www.millenaire3.com/dossiers/cycle-veille-m3-air-ameliorer-la-qualite-de-ce-que-l-on-respire-une-urgence-vitale/veille-m3-delphine-praud-epidemiologiste-au-centre-leon-berard-des-expositions-a-la-pollution-de-l-air-peuvent-avoir-des-effets-sur-la-gener,Santé_Veille M3,Santé,Veille M3,,,,,
24,Marianne CHOUTEAU,https://www.millenaire3.com/ressources/L-innovation-un-processus-a-decrypter,Innovation,Innovation,,,,,,
25,Anne-Caroline JAMBAUD,https://www.millenaire3.com/dossiers/2009/et-demain-irons-nous-toujours-au-cinema-archives/Les-nouvelles-technologies-et-le-cinema-de-demain,Numérique_Innovation_Culture,Numérique,Innovation,Culture,,,,
26,Nicolas NOVA,https://www.millenaire3.com/dossiers/2020/veille-m3/veille-m3-du-nomade-au-local-quelle-informatique-a-l-heure-du-photovoltaique,Numérique_Veille M3_Ressources,Numérique,Veille M3,Ressources,,,,
27,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/2021/modes-de-vie-soutenables/des-actes-a-la-hauteur,Transition_Climat,Transition,Climat,,,,,
28,Boris CHABANEL,https://www.millenaire3.com/dossiers/2021/modes-de-vie-soutenables/des-actes-a-la-hauteur,Transition_Climat,Transition,Climat,,,,,
31,Claire HARPET,https://www.millenaire3.com/ressources/la-parole-et-l-ecrit,Éducation,Éducation,,,,,,
34,Blandine CERISIER,https://www.millenaire3.com/dossiers/Chantier-Egalite-Femmes-Hommes/Le-traitement-par-la-presse-ecrite-de-balancetonporc,Genre,Genre,,,,,,
35,Nicolas LEPRÊTRE,https://www.millenaire3.com/dossiers/Chantier-Egalite-Femmes-Hommes/Le-traitement-par-la-presse-ecrite-de-balancetonporc,Genre,Genre,,,,,,
36,Anouk JORDAN,https://www.millenaire3.com/ressources/2017/la-propriete-intellectuelle,Innovation,Innovation,,,,,,
37,Sylvie  MAURIS-DEMOURIOUX,https://www.millenaire3.com/ressources/2017/la-propriete-intellectuelle,Innovation,Innovation,,,,,,
38,Julien CASALS,https://www.millenaire3.com/dossiers/Commande-Publique-Responsable-un-levier-puissant-de-transition-ecologique-et-sociale/Entretien-croise-MMIe-et-DIE-Il-y-a-desormais-une-volonte-de-developper-les-clauses-d-insertion-dans-l-ensemble-des-marches,Entreprise_Économie_Insertion,Entreprise,Économie,Insertion,,,,
43,Cédric POLÈRE,https://www.millenaire3.com/ressources/la-citoyennete-des-territoires,Citoyenneté_International,Citoyenneté,International,,,,,
44,Emmanuelle LAMBREY,https://www.millenaire3.com/ressources/la-citoyennete-des-territoires,Citoyenneté_International,Citoyenneté,International,,,,,
45,Cédric POLÈRE,https://www.millenaire3.com/ressources/les-biotechnologies-dans-la-region-lyonnaise-entre-sante-et-developpement-economique-elements-de-repere,Santé_Économie,Santé,Économie,,,,,
46,Patricia BAUMANN,https://www.millenaire3.com/ressources/les-residences-service-pour-personnes-vivant-seules-de-nouvelles-formes-de-voisinage,Politique de la ville_Jeunesse,Politique de la ville,Jeunesse,,,,,
47,David CHEVALLIER,https://www.millenaire3.com/dossiers/2019/sans-abri/Les-differents-acteurs-d-aide-aux-sans-abri,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
48,Sylvie  MAURIS-DEMOURIOUX,https://www.millenaire3.com/dossiers/veille-m3/veille-m3-gouverner-la-qualite-de-l-air-entre-economie-et-sante-jusqu-a-quand-les-compromis-seront-ils-tenables,Veille M3_Ressources,Veille M3,Ressources,,,,,
49,Martine LONG,https://www.millenaire3.com/ressources/la-tarification-un-outil-de-solidarite,Institution_Finance,Institution,Finance,,,,,
52,Geoffroy BING,https://www.millenaire3.com/dossiers/Start-up-entrepreneuriat-innovant-1-3-Temoignages-d-entrepreneurs/Une-start-up-et-son-environnement-l-exemple-de-Tilkee,Innovation_Entreprise,Innovation,Entreprise,,,,,
53,Ludovic VIÉVARD,https://www.millenaire3.com/ressources/Le-concept-de-civilisation-une-cle-essentielle-pour-comprendre-la-modernite,Pensées politiques,Pensées politiques,,,,,,
54,Lionel GASTINE,https://www.millenaire3.com/dossiers/2019/intelligence-artificielle-ia/Regards-croises-sur-l-intelligence-artificielle,Numérique_Innovation,Numérique,Innovation,,,,,
55,François MAYSSAL,https://www.millenaire3.com/dossiers/2019/intelligence-artificielle-ia/Regards-croises-sur-l-intelligence-artificielle,Numérique_Innovation,Numérique,Innovation,,,,,
56,Nicolas NOVA,https://www.millenaire3.com/dossiers/2019/intelligence-artificielle-ia/Regards-croises-sur-l-intelligence-artificielle,Numérique_Innovation,Numérique,Innovation,,,,,
57,Jean-Jack QUEYRANNE,https://www.millenaire3.com/ressources/les-religions-dans-l-espace-public,Laïcité_Cohésion sociale,Laïcité,Cohésion sociale,,,,,
58,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/2015/l-evaluation-des-politiques-publiques/Peut-on-evaluer-les-politiques-de-prevention-L-exemple-de-l-analyse-economique,Prospective_Service public_Évaluation,Prospective,Service public,Évaluation,,,,
59,Catherine FORET,https://www.millenaire3.com/ressources/la-creation-d-un-service-espace-public-au-sein-de-la-communaute-urbaine-de-lyon-1990-une-initiative-pionniere-en-france,Urbanisme_Institution_Grand Lyon,Urbanisme,Institution,Grand Lyon,,,,
60,Sylvie  MAURIS-DEMOURIOUX,https://www.millenaire3.com/dossiers/2023/cycle-veille-m3-fete-ce-besoin-essentiel-d-etre-heureux-ensemble/veille-m3-le-droit-et-la-fete-ordre-et-desordre-au-service-d-un-meme-equilibre-social,Culture_Veille M3_Justice,Culture,Veille M3,Justice,,,,
61,René RIZZARDO,https://www.millenaire3.com/ressources/les-politiques-culturelles,Culture,Culture,,,,,,
62,Anne-Caroline JAMBAUD,https://www.millenaire3.com/dossiers/2011/l-art-public-a-lyon-archives/L-art-public-est-une-discipline-en-mutations-recurrentes,Culture,Culture,,,,,,
63,Emile HOOGE,https://www.millenaire3.com/ressources/lyon-2020-lyon-capitale-mondiale-de-la-gastronomie,Valeurs_Patrimoine_Attractivité,Valeurs,Patrimoine,Attractivité,,,,
64,Ludovic VIÉVARD,https://www.millenaire3.com/ressources/lyon-2020-lyon-capitale-mondiale-de-la-gastronomie,Valeurs_Patrimoine_Attractivité,Valeurs,Patrimoine,Attractivité,,,,
65,Valérie PUGIN,https://www.millenaire3.com/ressources/les-relations-entre-l-ecole-et-les-familles-populaires-etat-des-lieux-analyses-et-pistes-d-action,Inclusion_Éducation,Inclusion,Éducation,,,,,
66,Nicolas BALTENNECK,https://www.millenaire3.com/ressources/parcourir-la-ville-sans-voir,Handicap,Handicap,,,,,,
67,Jean FURTOS,https://www.millenaire3.com/dossiers/2009/sante-psychique-et-logement-archives/Quelques-aspects-de-la-sante-mentale-concernant-l-habitat-dans-l-accompagnement-des-personnes-precaires,Santé_Handicap_Inclusion,Santé,Handicap,Inclusion,,,,
68,Alexandre MONNIN,https://www.millenaire3.com/dossiers/2020/veille-m3/veille-m3-famille-heritage-tous-les-attachements-sont-ils-bons-a-perdre,Valeurs_Institution_Veille M3,Valeurs,Institution,Veille M3,,,,
69,Benjamin LIPPENS,https://www.millenaire3.com/dossiers/2019/grandir-en-banlieue-1-les-quartiers-populaires/Grandir-en-banlieue-parcours-construction-identitaire-et-positions-sociales.-Le-devenir-d-une-cohorte,Politique de la ville_Citoyenneté_Inclusion,Politique de la ville,Citoyenneté,Inclusion,,,,
70,Jean-Marc BERTHET,https://www.millenaire3.com/ressources/prevention-du-decrochage-scolaire-qu-en-disent-les-acteurs-de-terrain,Éducation,Éducation,,,,,,
71,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/economie-regenerative-quel-chemin-pour-reconcilier-activites-humaines-et-cycles-naturels/croissance-verte-economie-circulaire-et-economie-permacirculaire,Économie,Économie,,,,,,
72,Elena DINGU-KYKLUND,https://www.millenaire3.com/ressources/l-immigration-et-les-politiques-d-integration-en-suede,Inclusion_International,Inclusion,International,,,,,
75,Anne-Caroline JAMBAUD,https://www.millenaire3.com/dossiers/2010/emergences-culturelles/La-mise-en-oeuvre-d-une-reelle-politique-de-la-memoire-avec-le-numerique,Numérique_Éducation_Patrimoine,Numérique,Éducation,Patrimoine,,,,
78,Geoffroy BING,https://www.millenaire3.com/ressources/l-affirmation-d-une-politique-d-innovation-au-sein-du-grand-lyon-1984-2009,Institution_Entreprise_Grand Lyon,Institution,Entreprise,Grand Lyon,,,,
79,Antoine COURMONT,https://www.millenaire3.com/ressources/L-open-data-des-communes-sur-le-territoire-grandlyonnais,Institution_Numérique_Data,Institution,Numérique,Data,,,,
80,François MAYSSAL,https://www.millenaire3.com/dossiers/2012/data-donnees-et-services/Les-Data-carburant-de-la-ville-intelligente,Numérique_Innovation_Data,Numérique,Innovation,Data,,,,
81,Yoan OLLIVIER,https://www.millenaire3.com/dossiers/2012/data-donnees-et-services/Les-Data-carburant-de-la-ville-intelligente,Numérique_Innovation_Data,Numérique,Innovation,Data,,,,
82,Ludovic VIÉVARD,https://www.millenaire3.com/dossiers/2012/data-donnees-et-services/Les-Data-carburant-de-la-ville-intelligente,Numérique_Innovation_Data,Numérique,Innovation,Data,,,,
83,Geoffroy BING,https://www.millenaire3.com/ressources/lyon-capitale-de-la-gastronomie-quels-chiffres-pour-le-dire,Patrimoine_Attractivité,Patrimoine,Attractivité,,,,,
84,Emile HOOGE,https://www.millenaire3.com/ressources/lyon-capitale-de-la-gastronomie-quels-chiffres-pour-le-dire,Patrimoine_Attractivité,Patrimoine,Attractivité,,,,,
87,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/2023/la-consommation-de-bio-a-la-croisee-des-chemins/une-stagnation-de-la-bio-1-2-decryptage-des-chiffres-et-tendances,Biodiversité_Développement durable_Économie,Biodiversité,Développement durable,Économie,,,,
88,Arthur GRIMONPONT,https://www.millenaire3.com/dossiers/2023/la-consommation-de-bio-a-la-croisee-des-chemins/une-stagnation-de-la-bio-1-2-decryptage-des-chiffres-et-tendances,Biodiversité_Développement durable_Économie,Biodiversité,Développement durable,Économie,,,,
89,Cédric POLÈRE,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/communaute-urbaine-en-quete-de-nom-agglomeration-en-quete-d-identite-de-la-courly-au-grand-lyon,Valeurs_Institution_Grand Lyon,Valeurs,Institution,Grand Lyon,,,,
90,Benjamin  PRADEL,https://www.millenaire3.com/dossiers/Mobilites-Quelle-place-dans-la-rue-de-demain/Aux-rythmes-de-la-ville-l-urbanisme-dynamique,Mobilité_Politique de la ville_Urbanisme,Mobilité,Politique de la ville,Urbanisme,,,,
91,Sylvie  MAURIS-DEMOURIOUX,https://www.millenaire3.com/dossiers/2022/cycle-veille-m3-energie-quels-nouveaux-modes-de-vie-dans-un-monde-plus-sobre/veille-m3-le-paysage-grand-ordonnateur-de-la-transition-energetique,Transition_Veille M3_International,Transition,Veille M3,International,,,,
92,Sebastian ROCHE,https://www.millenaire3.com/ressources/aspirations-et-clivages-trajectoires-sociales-2-6,Cohésion sociale_Clivages,Cohésion sociale,Clivages,,,,,
93,Cédric POLÈRE,https://www.millenaire3.com/ressources/aspirations-et-clivages-trajectoires-sociales-2-6,Cohésion sociale_Clivages,Cohésion sociale,Clivages,,,,,
94,Boris CHABANEL,https://www.millenaire3.com/ressources/aspirations-et-clivages-trajectoires-sociales-2-6,Cohésion sociale_Clivages,Cohésion sociale,Clivages,,,,,
95,Aurélien BOUTAUD,https://www.millenaire3.com/ressources/aspirations-et-clivages-trajectoires-sociales-2-6,Cohésion sociale_Clivages,Cohésion sociale,Clivages,,,,,
96,Manon LOISEL,https://www.millenaire3.com/ressources/2022/eau-5-la-quantite-d-eau-douce-disponible,Ressources,Ressources,,,,,,
97,Aurélien BOUTAUD,https://www.millenaire3.com/ressources/2022/eau-5-la-quantite-d-eau-douce-disponible,Ressources,Ressources,,,,,,
98,Hélène DELHAY,https://www.millenaire3.com/ressources/2022/eau-5-la-quantite-d-eau-douce-disponible,Ressources,Ressources,,,,,,
101,Nicolas NOVA,https://www.millenaire3.com/ressources/2021/veille-m3-du-nomade-au-local-quelle-informatique-a-l-heure-du-photovoltaique,Numérique_Veille M3_Ressources,Numérique,Veille M3,Ressources,,,,
102,Nicolas JOURNO,https://www.millenaire3.com/ressources/2023/zone-a-faibles-emissions-zfe-profils-des-personnes-accompagnees-vers-la-cyclomobilite-professionnelle,Transition_Mobilité_Usage,Transition,Mobilité,Usage,,,,
103,Claire MARQUET,https://www.millenaire3.com/ressources/2023/zone-a-faibles-emissions-zfe-profils-des-personnes-accompagnees-vers-la-cyclomobilite-professionnelle,Transition_Mobilité_Usage,Transition,Mobilité,Usage,,,,
104,Cédric POLÈRE,https://www.millenaire3.com/dossiers/2011/le-patrimoine-autrement-dit/L-inscription-du-site-historique-de-Lyon-au-Patrimoine-mondial,Patrimoine,Patrimoine,,,,,,
109,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/Economie-circulaire-au-dela-du-recyclage-comment-transformer-l-economie/Croissance-verte-economie-circulaire-et-economie-permacirculaire,Économie,Économie,,,,,,
110,Cédric POLÈRE,https://www.millenaire3.com/ressources/L-action-directe-extension-des-modes-de-participation-politique-ou-menace-pour-la-democratie,Démocratie,Démocratie,,,,,,
111,Jean-Loup MOLIN,https://www.millenaire3.com/ressources/2021/synthese-essor-de-l-enseignement-superieur-prive-quels-enjeux-pour-l-agglomeration-lyonnaise,Éducation_Jeunesse,Éducation,Jeunesse,,,,,
112,Cédric POLÈRE,https://www.millenaire3.com/ressources/immigre-immigrant-des-appellations-specifiques-dans-les-differents-pays-de-l-integration,Pensées politiques,Pensées politiques,,,,,,
113,Aurélien BOUTAUD,https://www.millenaire3.com/dossiers/2015/l-evaluation-des-politiques-publiques/L-evaluation-des-politiques-publiques-c-est-quoi-exactement,Prospective_Service public_Évaluation,Prospective,Service public,Évaluation,,,,
114,Nicolas RIO,https://www.millenaire3.com/dossiers/Sentiments-d-injustice/Comment-accompagner-les-sentiments-d-injustice-Trois-sources-d-inspirations,Cohésion sociale_Clivages,Cohésion sociale,Clivages,,,,,
115,Nicolas NOVA,https://www.millenaire3.com/dossiers/2023/du-transport-a-la-mobilite-le-mouvement-au-caeur-des-transitions-urbaines/et-si-demain-25-projections-sur-la-mobilite-et-l-espace-public,Mobilité_Politique de la ville_Urbanisme_Innovation,Mobilité,Politique de la ville,Urbanisme,Innovation,,,
116,Fabien GIRARDIN,https://www.millenaire3.com/dossiers/2023/du-transport-a-la-mobilite-le-mouvement-au-caeur-des-transitions-urbaines/et-si-demain-25-projections-sur-la-mobilite-et-l-espace-public,Mobilité_Politique de la ville_Urbanisme_Innovation,Mobilité,Politique de la ville,Urbanisme,Innovation,,,
117,""" HAUT CONSEIL À LINTÉGRATION""",https://www.millenaire3.com/ressources/les-parcours-d-integration,Inclusion,Inclusion,,,,,,
120,Eddy MAAROUFI,https://www.millenaire3.com/dossiers/2022/cycle-veille-m3-gastronomie-manger-partager-et-changer-de-monde/veille-m3-thomas-zimmermann-du-lyon-street-food-festival-ca-fonctionne-ce-melting-pot-et-ce-pretexte-de-la-table-pour-reunir,Veille M3,Veille M3,,,,,,
123,Cédric POLÈRE,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/l-histoire-des-logos-du-grand-lyon,Institution_Patrimoine_Grand Lyon,Institution,Patrimoine,Grand Lyon,,,,
126,Aurélien BOUTAUD,https://www.millenaire3.com/ressources/2022/veille-m3-infographie-la-qualite-de-l-air-exterieur,Transition_Veille M3,Transition,Veille M3,,,,,
131,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/podcast-memoires-retroprospective-histoire-de-la-communaute-urbaine-de-lyon-1-2,Transition_Prospective_Mobilité_Urbanisme_Grand Lyon,Transition,Prospective,Mobilité,Urbanisme,Grand Lyon,,
132,Lucas PIESSAT,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/podcast-memoires-retroprospective-histoire-de-la-communaute-urbaine-de-lyon-1-2,Transition_Prospective_Mobilité_Urbanisme_Grand Lyon,Transition,Prospective,Mobilité,Urbanisme,Grand Lyon,,
133,Gauthier BRAVAIS,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/podcast-memoires-retroprospective-histoire-de-la-communaute-urbaine-de-lyon-1-2,Transition_Prospective_Mobilité_Urbanisme_Grand Lyon,Transition,Prospective,Mobilité,Urbanisme,Grand Lyon,,
134,Ludovic VIÉVARD,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/podcast-memoires-retroprospective-histoire-de-la-communaute-urbaine-de-lyon-1-2,Transition_Prospective_Mobilité_Urbanisme_Grand Lyon,Transition,Prospective,Mobilité,Urbanisme,Grand Lyon,,
135,Caroline JANUEL,https://www.millenaire3.com/dossiers/2022/de-la-courly-au-grand-lyon-genese-et-developpement-d-une-metropole/podcast-memoires-retroprospective-histoire-de-la-communaute-urbaine-de-lyon-1-2,Transition_Prospective_Mobilité_Urbanisme_Grand Lyon,Transition,Prospective,Mobilité,Urbanisme,Grand Lyon,,
138,Quentin VERNETTE,https://www.millenaire3.com/dossiers/2021/cycle-veille-m3-collapsologie-effondrisme-ou-comment-reflechir-au-pire-sans-nous-en-satisfaire/veille-m3-collapsologie-l-effondrisme-cette-anti-utopie-qui-nous-pousse-peut-etre-vers-un-monde-meilleur,Prospective_Veille M3,Prospective,Veille M3,,,,,
139,Eddy MAAROUFI,https://www.millenaire3.com/dossiers/2021/cycle-veille-m3-collapsologie-effondrisme-ou-comment-reflechir-au-pire-sans-nous-en-satisfaire/veille-m3-collapsologie-l-effondrisme-cette-anti-utopie-qui-nous-pousse-peut-etre-vers-un-monde-meilleur,Prospective_Veille M3,Prospective,Veille M3,,,,,
144,Caroline HAMON,https://www.millenaire3.com/dossiers/resilience-quelles-articulations-entre-acteurs-publics-et-initiatives-du-territoire/bricologis-notre-vision-de-la-resilience-aider-chacun-a-ameliorer-son-quotidien-a-moindre-cout,Transition_Économie,Transition,Économie,,,,,
147,Aurélien BOUTAUD,https://www.millenaire3.com/ressources/20152/peut-on-evaluer-les-politiques-de-prevention-l-exemple-de-l-analyse-economique,Prospective_Service public_Évaluation,Prospective,Service public,Évaluation,,,,
148,Geoffroy BING,https://www.millenaire3.com/ressources/operateurs-de-services-urbains-les-acteurs-les-strategies-les-perspectives,Institution,Institution,,,,,,
149,Catherine PANASSIER,https://www.millenaire3.com/dossiers/VILLE-ET-HANDICAP-S/La-robotique-d-assistance-un-veritable-secteur-d-avenir,Santé_Handicap_Innovation,Santé,Handicap,Innovation,,,,
150,Isabelle BARAUD-SERFATY,https://www.millenaire3.com/ressources/Le-nouveau-paysage-des-acteurs-du-sans-abrisme,Inclusion_Clivages_Pauvreté,Inclusion,Clivages,Pauvreté,,,,
151,Geoffroy BING,https://www.millenaire3.com/dossiers/2018/vie-etudiante/Vie-etudiante-4-Logements-etudiants-quels-services-innovants,Cadre de vie_Jeunesse,Cadre de vie,Jeunesse,,,,,
152,Caroline JANUEL,https://www.millenaire3.com/ressources/2016/le-big-data-une-nouvelle-ressource-pour-l-economie,Innovation_Économie_Data,Innovation,Économie,Data,,,,
153,Nicolas LEPRÊTRE,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
154,Jean-Loup MOLIN,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
155,Margot BALDASSI,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
156,Philippe GARGOV,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
157,Isabelle BARAUD-SERFATY,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
158,David CHEVALLIER,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
159,Benjamin  PRADEL,https://www.millenaire3.com/ressources/Sans-abrisme-Politiques-Publiques,Solidarité_Inclusion_Pauvreté,Solidarité,Inclusion,Pauvreté,,,,
160,Boris CHABANEL,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
161,Catherine DEBRAND,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
162,Emile HOOGE,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
163,Caroline JANUEL,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
164,Julie JEAMMAUD,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
165,Anouk JORDAN,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
166,Sylvie  MAURIS-DEMOURIOUX,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
167,Cédric POLÈRE,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
168,Ludovic VIÉVARD,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
169,Eve DENJEAN,https://www.millenaire3.com/dossiers/Prospective-du-travail-entre-exigences-et-besoin-d-harmonie/Mon-travail-et-nous,Numérique_Santé_Travail_Entreprise_Économie_Management,Numérique,Santé,Travail,Entreprise,Économie,Management,
172,Matthieu BOURY,https://www.millenaire3.com/ressources/plan-climat-et-renovation-energetique-des-logements-prives,Cadre de vie_Climat_Grand Lyon,Cadre de vie,Climat,Grand Lyon,,,,
173,Julien CASALS,https://www.millenaire3.com/ressources/plan-climat-et-renovation-energetique-des-logements-prives,Cadre de vie_Climat_Grand Lyon,Cadre de vie,Climat,Grand Lyon,,,,
