,source,target,values
1286,Benjamin  PRADEL,Mobilité,17.0
1311,Benjamin  PRADEL,Urbanisme,31.0
1860,Inclusion,Anne-Caroline JAMBAUD,2.0
1862,Inclusion,Benjamin  PRADEL,13.0
1866,Inclusion,Boris CHABANEL,5.0
1869,Inclusion,Cédric POLÈRE,29.0
1870,Inclusion,Ludovic VIÉVARD,23.0
1874,Inclusion,Philippe DUJARDIN,1.0
1876,Inclusion,Aurélien BOUTAUD,1.0
1884,Inclusion,Claire HARPET,1.0
1885,Inclusion,Philippe JURY,1.0
1891,Inclusion,Julie JEAMMAUD,5.0
1894,Inclusion,Jean-Marc BERTHET,8.0
1897,Inclusion,Catherine PANASSIER,17.0
1899,Inclusion,Caroline JANUEL,9.0
1909,Inclusion,Nicolas LEPRÊTRE,9.0
1912,Inclusion,Sylvie  MAURIS-DEMOURIOUX,10.0
1919,Inclusion,David CHEVALLIER,22.0
1923,Inclusion,Geoffroy BING,3.0
1930,Inclusion,Catherine FORET,5.0
1937,Inclusion,Valérie PUGIN,3.0
1939,Inclusion,Jean FURTOS,2.0
1941,Inclusion,Benjamin LIPPENS,16.0
1942,Inclusion,Elena DINGU-KYKLUND,1.0
1948,Inclusion,Sebastian ROCHE,2.0
1954,Inclusion,Jean-Loup MOLIN,9.0
1957,Inclusion,""" HAUT CONSEIL À LINTÉGRATION""",1.0
1965,Inclusion,Isabelle BARAUD-SERFATY,9.0
1966,Inclusion,Margot BALDASSI,7.0
1967,Inclusion,Philippe GARGOV,7.0
1973,Inclusion,Pierre-Alain FOUR,5.0
1978,Inclusion,Laure BORNAREL,1.0
1996,Inclusion,Brice DURY,3.0
2001,Inclusion,Justin FOLLENFANT,2.0
2005,Inclusion,Maylis NOUVELLON,2.0
2006,Inclusion,Noémie COUILLARD,2.0
2011,Inclusion,Marie Clémence LE PAPE,2.0
2012,Inclusion,Maël DIEUDONNÉ,2.0
2013,Inclusion,Eric CEDIEY,9.0
2021,Inclusion,Christine OLM,5.0
2027,Inclusion, LALCA,6.0
2032,Inclusion,Pierre GROSDEMOUGE,7.0
2045,Inclusion,Jean-Loup AMSELLE,2.0
2049,Inclusion,Claudio BOLZMAN,2.0
2051,Inclusion,Stéphane AUTRAN,1.0
2054,Inclusion,Iván BAJOMI,1.0
2058,Inclusion,Valérie SALA PALA,3.0
2070,Inclusion,Bruno VOISIN,1.0
2071,Inclusion,François-Régis GUILLAUME,1.0
2072,Inclusion,Gilbert AUGER,1.0
2077,Inclusion,David GRAND,3.0
2080,Inclusion,Michel WIEVIORKA,1.0
2083,Inclusion,Mónica COSTA,1.0
2084,Inclusion,Paulo Manuel COSTA,1.0
2086,Inclusion,Dann METTIDJI,2.0
2097,Inclusion,Camille DUTHY,2.0
2102,Inclusion,Emmanuelle SANTELLI,3.0
2122,Inclusion,Martine CHANAL,1.0
2123,Inclusion,Benoit EYRAUD,1.0
2125,Inclusion,Stéphane BIENVENUE,1.0
2135,Inclusion,Cabinet TRAJECTOIRES REFLEX,2.0
2141,Inclusion,Pierre HOUSSAIS,3.0
2149,Inclusion,Julien THIBURCE,2.0
2170,Inclusion,Yoann PUPAT,7.0
2176,Inclusion,Bruno BIGOURDAN,1.0
2179,Inclusion,Julien TALPIN,1.0
2194,Inclusion,Thomas KIRSZBAUM,2.0
2232,Inclusion,Alain BATTEGAY,1.0
2240,Inclusion,Jérôme SAINTE,1.0
2241,Inclusion,Leila BOUTAMINE,1.0
2278,Inclusion,Patrick SIMON,1.0
2284,Inclusion,François DUBET,1.0
2288,Inclusion,Hans WERDMÖLDER,1.0
2295,Inclusion,Abdellatif CHAOUITE,1.0
2325,Inclusion,Anna Paula BEJA HORTA,1.0
2326,Inclusion,Joana MIRANDA,1.0
2335,Inclusion,Jean-Stephan CLERC,1.0
2336,Inclusion,Pierre MICHEL_,1.0
2360,Inclusion,Laura DESMARIS,1.0
2361,Inclusion,Marc URHY,1.0
2375,Inclusion,Mohamed Chérif FERJANI,1.0
2391,Inclusion,Enrico ALLASINO,1.0
2392,Inclusion,Elinor KELLY,1.0
2417,Inclusion,"""Groupe dInitiatives Pour lIntégration dans la Ville GIPIV""",2.0
2448,Inclusion,Chris OLIVIER,1.0
2471,Inclusion,Thomas FAIST,1.0
2482,Clivages,Benjamin  PRADEL,4.0
2486,Clivages,Boris CHABANEL,7.0
2489,Clivages,Cédric POLÈRE,10.0
2490,Clivages,Ludovic VIÉVARD,21.0
2496,Clivages,Aurélien BOUTAUD,18.0
2517,Clivages,Catherine PANASSIER,1.0
2529,Clivages,Nicolas LEPRÊTRE,8.0
2550,Clivages,Catherine FORET,2.0
2561,Clivages,Benjamin LIPPENS,1.0
2568,Clivages,Sebastian ROCHE,17.0
2569,Clivages,Manon LOISEL,3.0
2574,Clivages,Jean-Loup MOLIN,7.0
2575,Clivages,Nicolas RIO,3.0
2579,Clivages,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,4.0
2585,Clivages,Isabelle BARAUD-SERFATY,4.0
2700,Clivages,Michel WIEVIORKA,1.0
2790,Clivages,Yoann PUPAT,2.0
2839,Clivages,Bernard DREANO,1.0
3102,Pauvreté,Benjamin  PRADEL,13.0
3109,Pauvreté,Cédric POLÈRE,2.0
3110,Pauvreté,Ludovic VIÉVARD,3.0
3149,Pauvreté,Nicolas LEPRÊTRE,5.0
3152,Pauvreté,Sylvie  MAURIS-DEMOURIOUX,2.0
3159,Pauvreté,David CHEVALLIER,20.0
3194,Pauvreté,Jean-Loup MOLIN,5.0
3205,Pauvreté,Isabelle BARAUD-SERFATY,9.0
3206,Pauvreté,Margot BALDASSI,8.0
3207,Pauvreté,Philippe GARGOV,8.0
3211,Pauvreté,Quentin ZARAGORI,1.0
3237,Pauvreté,Sophie KELLER,1.0
3318,Pauvreté,Denis CLERC,1.0
3375,Pauvreté,Cabinet TRAJECTOIRES REFLEX,2.0
3656,Pauvreté,Patrice RAYMOND,1.0
3688,Pauvreté,Chris OLIVIER,1.0
3723,Boris CHABANEL,Inclusion,5.0
3724,Boris CHABANEL,Clivages,7.0
3732,Boris CHABANEL,Travail,16.0
3733,Boris CHABANEL,Entreprise,20.0
3737,Boris CHABANEL,Transition,29.0
3738,Boris CHABANEL,Climat,3.0
3740,Boris CHABANEL,Numérique,8.0
3741,Boris CHABANEL,Usage,2.0
3743,Boris CHABANEL,Innovation,14.0
3746,Boris CHABANEL,Solidarité,1.0
3747,Boris CHABANEL,Valeurs,5.0
3748,Boris CHABANEL,Économie,89.0
3750,Boris CHABANEL,Cadre de vie,9.0
3755,Boris CHABANEL,Cohésion sociale,5.0
3756,Boris CHABANEL,Biodiversité,9.0
3758,Boris CHABANEL,Politique de la ville,2.0
3760,Boris CHABANEL,Santé,10.0
3763,Boris CHABANEL,Ressources,14.0
3764,Boris CHABANEL,Prospective,2.0
3765,Boris CHABANEL,Éducation,6.0
3766,Boris CHABANEL,Mobilité,2.0
3767,Boris CHABANEL,Service public,2.0
3774,Boris CHABANEL,Insertion,7.0
3776,Boris CHABANEL,International,3.0
3778,Boris CHABANEL,Jeunesse,6.0
3781,Boris CHABANEL,Institution,3.0
3789,Boris CHABANEL,Évaluation,3.0
3792,Boris CHABANEL,Grand Lyon,2.0
3793,Boris CHABANEL,Justice,3.0
3796,Boris CHABANEL,Attractivité,20.0
3804,Boris CHABANEL,Data,5.0
3807,Boris CHABANEL,Développement durable,3.0
3813,Boris CHABANEL,Démocratie,1.0
3823,Boris CHABANEL,Recherche,5.0
3828,Boris CHABANEL,Management,7.0
3855,Boris CHABANEL,Social,3.0
3896,Boris CHABANEL,Sécurité,1.0
4341,Catherine DEBRAND,Culture,2.0
4352,Catherine DEBRAND,Travail,13.0
4353,Catherine DEBRAND,Entreprise,7.0
4357,Catherine DEBRAND,Transition,8.0
4360,Catherine DEBRAND,Numérique,7.0
4361,Catherine DEBRAND,Usage,4.0
4367,Catherine DEBRAND,Valeurs,11.0
4368,Catherine DEBRAND,Économie,4.0
4370,Catherine DEBRAND,Cadre de vie,8.0
4380,Catherine DEBRAND,Santé,4.0
4385,Catherine DEBRAND,Éducation,3.0
4387,Catherine DEBRAND,Service public,1.0
4398,Catherine DEBRAND,Jeunesse,5.0
4412,Catherine DEBRAND,Grand Lyon,4.0
4448,Catherine DEBRAND,Management,4.0
4475,Catherine DEBRAND,Social,1.0
4573,Catherine DEBRAND,Action publique,4.0
4961,Emile HOOGE,Culture,2.0
4972,Emile HOOGE,Travail,15.0
4973,Emile HOOGE,Entreprise,12.0
4977,Emile HOOGE,Transition,6.0
4980,Emile HOOGE,Numérique,9.0
4981,Emile HOOGE,Usage,3.0
4983,Emile HOOGE,Innovation,12.0
4986,Emile HOOGE,Solidarité,1.0
4987,Emile HOOGE,Valeurs,15.0
4988,Emile HOOGE,Économie,17.0
4990,Emile HOOGE,Cadre de vie,2.0
4992,Emile HOOGE,Citoyenneté,2.0
5000,Emile HOOGE,Santé,11.0
5003,Emile HOOGE,Ressources,3.0
5005,Emile HOOGE,Éducation,7.0
5006,Emile HOOGE,Mobilité,2.0
5007,Emile HOOGE,Service public,1.0
5016,Emile HOOGE,International,1.0
5018,Emile HOOGE,Jeunesse,6.0
5021,Emile HOOGE,Institution,2.0
5031,Emile HOOGE,Urbanisme,1.0
5032,Emile HOOGE,Grand Lyon,13.0
5035,Emile HOOGE,Patrimoine,3.0
5036,Emile HOOGE,Attractivité,7.0
5044,Emile HOOGE,Data,1.0
5047,Emile HOOGE,Développement durable,3.0
5063,Emile HOOGE,Recherche,1.0
5068,Emile HOOGE,Management,4.0
5095,Emile HOOGE,Social,1.0
5581,Cédric POLÈRE,Culture,14.0
5583,Cédric POLÈRE,Inclusion,29.0
5584,Cédric POLÈRE,Clivages,10.0
5585,Cédric POLÈRE,Pauvreté,2.0
5592,Cédric POLÈRE,Travail,22.0
5593,Cédric POLÈRE,Entreprise,7.0
5600,Cédric POLÈRE,Numérique,11.0
5601,Cédric POLÈRE,Usage,3.0
5603,Cédric POLÈRE,Innovation,4.0
5606,Cédric POLÈRE,Solidarité,6.0
5607,Cédric POLÈRE,Valeurs,14.0
5608,Cédric POLÈRE,Économie,8.0
5610,Cédric POLÈRE,Cadre de vie,13.0
5612,Cédric POLÈRE,Citoyenneté,9.0
5615,Cédric POLÈRE,Cohésion sociale,26.0
5616,Cédric POLÈRE,Biodiversité,3.0
5618,Cédric POLÈRE,Politique de la ville,1.0
5620,Cédric POLÈRE,Santé,17.0
5621,Cédric POLÈRE,Handicap,8.0
5624,Cédric POLÈRE,Prospective,14.0
5625,Cédric POLÈRE,Éducation,2.0
5626,Cédric POLÈRE,Mobilité,2.0
5627,Cédric POLÈRE,Service public,12.0
5630,Cédric POLÈRE,Genre,21.0
5634,Cédric POLÈRE,Insertion,4.0
5636,Cédric POLÈRE,International,3.0
5638,Cédric POLÈRE,Jeunesse,3.0
5641,Cédric POLÈRE,Institution,19.0
5644,Cédric POLÈRE,Pensées politiques,11.0
5648,Cédric POLÈRE,Laïcité,9.0
5649,Cédric POLÈRE,Évaluation,7.0
5652,Cédric POLÈRE,Grand Lyon,18.0
5653,Cédric POLÈRE,Justice,1.0
5655,Cédric POLÈRE,Patrimoine,6.0
5656,Cédric POLÈRE,Attractivité,1.0
5673,Cédric POLÈRE,Démocratie,26.0
5688,Cédric POLÈRE,Management,4.0
5715,Cédric POLÈRE,Social,4.0
5729,Cédric POLÈRE,Concertation,2.0
5737,Cédric POLÈRE,Personnes âgées,1.0
5748,Cédric POLÈRE,Habitat,3.0
5756,Cédric POLÈRE,Sécurité,5.0
5782,Cédric POLÈRE,Égalité,2.0
5813,Cédric POLÈRE,Action publique,2.0
6201,Ludovic VIÉVARD,Culture,16.0
6203,Ludovic VIÉVARD,Inclusion,23.0
6204,Ludovic VIÉVARD,Clivages,21.0
6205,Ludovic VIÉVARD,Pauvreté,3.0
6212,Ludovic VIÉVARD,Travail,13.0
6213,Ludovic VIÉVARD,Entreprise,9.0
6217,Ludovic VIÉVARD,Transition,11.0
6220,Ludovic VIÉVARD,Numérique,38.0
6221,Ludovic VIÉVARD,Usage,21.0
6223,Ludovic VIÉVARD,Innovation,33.0
6226,Ludovic VIÉVARD,Solidarité,12.0
6227,Ludovic VIÉVARD,Valeurs,21.0
6228,Ludovic VIÉVARD,Économie,4.0
6230,Ludovic VIÉVARD,Cadre de vie,5.0
6232,Ludovic VIÉVARD,Citoyenneté,11.0
6235,Ludovic VIÉVARD,Cohésion sociale,26.0
6236,Ludovic VIÉVARD,Biodiversité,3.0
6238,Ludovic VIÉVARD,Politique de la ville,4.0
6240,Ludovic VIÉVARD,Santé,12.0
6241,Ludovic VIÉVARD,Handicap,3.0
6243,Ludovic VIÉVARD,Ressources,1.0
6244,Ludovic VIÉVARD,Prospective,6.0
6245,Ludovic VIÉVARD,Éducation,5.0
6246,Ludovic VIÉVARD,Mobilité,8.0
6247,Ludovic VIÉVARD,Service public,13.0
6250,Ludovic VIÉVARD,Genre,6.0
6256,Ludovic VIÉVARD,International,2.0
6258,Ludovic VIÉVARD,Jeunesse,1.0
6261,Ludovic VIÉVARD,Institution,1.0
6264,Ludovic VIÉVARD,Pensées politiques,7.0
6268,Ludovic VIÉVARD,Laïcité,12.0
6271,Ludovic VIÉVARD,Urbanisme,6.0
6272,Ludovic VIÉVARD,Grand Lyon,35.0
6275,Ludovic VIÉVARD,Patrimoine,11.0
6276,Ludovic VIÉVARD,Attractivité,5.0
6284,Ludovic VIÉVARD,Data,3.0
6303,Ludovic VIÉVARD,Recherche,23.0
6308,Ludovic VIÉVARD,Management,4.0
6335,Ludovic VIÉVARD,Social,1.0
6357,Ludovic VIÉVARD,Personnes âgées,2.0
6366,Ludovic VIÉVARD,Sport,2.0
6368,Ludovic VIÉVARD,Habitat,3.0
6376,Ludovic VIÉVARD,Sécurité,4.0
6821,Eve DENJEAN,Culture,10.0
6832,Eve DENJEAN,Travail,12.0
6833,Eve DENJEAN,Entreprise,7.0
6837,Eve DENJEAN,Transition,9.0
6840,Eve DENJEAN,Numérique,14.0
6847,Eve DENJEAN,Valeurs,12.0
6848,Eve DENJEAN,Économie,9.0
6850,Eve DENJEAN,Cadre de vie,1.0
6858,Eve DENJEAN,Politique de la ville,1.0
6860,Eve DENJEAN,Santé,4.0
6878,Eve DENJEAN,Jeunesse,10.0
6892,Eve DENJEAN,Grand Lyon,5.0
6928,Eve DENJEAN,Management,4.0
7446,Travail,Boris CHABANEL,16.0
7447,Travail,Catherine DEBRAND,13.0
7448,Travail,Emile HOOGE,15.0
7449,Travail,Cédric POLÈRE,22.0
7450,Travail,Ludovic VIÉVARD,13.0
7451,Travail,Eve DENJEAN,12.0
7456,Travail,Aurélien BOUTAUD,1.0
7462,Travail,Nicolas NOVA,1.0
7471,Travail,Julie JEAMMAUD,22.0
7477,Travail,Catherine PANASSIER,3.0
7479,Travail,Caroline JANUEL,11.0
7489,Travail,Nicolas LEPRÊTRE,1.0
7491,Travail,Anouk JORDAN,16.0
7492,Travail,Sylvie  MAURIS-DEMOURIOUX,11.0
7493,Travail,Julien CASALS,1.0
7503,Travail,Geoffroy BING,2.0
7505,Travail,Lionel GASTINE,2.0
7539,Travail,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,9.0
7544,Travail,Caroline HAMON,2.0
7550,Travail,Gaspard LANDEL,2.0
7564,Travail,Jean-Yves BOULIN,1.0
7593,Travail,Eric CEDIEY,1.0
7601,Travail,Christine OLM,1.0
7612,Travail,Pierre GROSDEMOUGE,5.0
7627,Travail,Léa PEYRON,1.0
7632,Travail,Lucie VERCHERE,2.0
7666,Travail,Dann METTIDJI,3.0
7696,Travail,Gilles JEANNOT,1.0
7756,Travail,Bruno BIGOURDAN,1.0
7773,Travail,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,2.0
7806,Travail,Jean-François TCHERNIA,1.0
7869,Travail,Hubert GUILLAUD,1.0
7879,Travail,Elisabeth PERROT,1.0
7884,Travail,John WRENCH,1.0
7964,Travail,Patrick DESCHAMPS,1.0
7997,Travail,"""Groupe dInitiatives Pour lIntégration dans la Ville GIPIV""",1.0
8006,Travail,Jean BOISSONNAT,1.0
8022,Travail,André GORZ,1.0
8050,Travail,Marie JOMARD,1.0
8066,Entreprise,Boris CHABANEL,20.0
8067,Entreprise,Catherine DEBRAND,7.0
8068,Entreprise,Emile HOOGE,12.0
8069,Entreprise,Cédric POLÈRE,7.0
8070,Entreprise,Ludovic VIÉVARD,9.0
8071,Entreprise,Eve DENJEAN,7.0
8076,Entreprise,Aurélien BOUTAUD,1.0
8091,Entreprise,Julie JEAMMAUD,4.0
8097,Entreprise,Catherine PANASSIER,1.0
8099,Entreprise,Caroline JANUEL,5.0
8102,Entreprise,Marianne CHOUTEAU,1.0
8109,Entreprise,Nicolas LEPRÊTRE,9.0
8111,Entreprise,Anouk JORDAN,4.0
8112,Entreprise,Sylvie  MAURIS-DEMOURIOUX,5.0
8113,Entreprise,Julien CASALS,2.0
8123,Entreprise,Geoffroy BING,32.0
8125,Entreprise,Lionel GASTINE,1.0
8126,Entreprise,François MAYSSAL,6.0
8159,Entreprise,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,4.0
8169,Entreprise,Matthieu BOURY,1.0
8170,Entreprise,Gaspard LANDEL,2.0
8173,Entreprise,Pierre-Alain FOUR,7.0
8177,Entreprise,Michel CAPRON,1.0
8179,Entreprise,Bruno BENOIT,1.0
8191,Entreprise,Christian LEFÈVRE,2.0
8197,Entreprise,Sophie KELLER,34.0
8204,Entreprise,Clément JOURDAN,20.0
8251,Entreprise,Stéphane AUTRAN,2.0
8268,Entreprise,Natacha ISRAËL,7.0
8286,Entreprise,Dann METTIDJI,1.0
8299,Entreprise,Manon SCOTTO,2.0
8338,Entreprise,Théo BATTAGLIA,5.0
8386,Entreprise,Didier CAZELLES,1.0
8396,Entreprise,Jean-Yves OTTMAN,1.0
8408,Entreprise,Idir CHERIEF,1.0
8412,Entreprise,Caroline MORICEAU,5.0
8413,Entreprise,Laure PERRIN-VIDOZ,5.0
8497,Entreprise,Étienne RODIN,1.0
8552,Entreprise,Alice TAGGER,1.0
8602,Entreprise,Delphine SCIARRINO,1.0
8603,Entreprise,Ludivine SCIARRINO,1.0
8627,Entreprise,Didier LIVIO,1.0
8681,Philippe DUJARDIN,Culture,2.0
8683,Philippe DUJARDIN,Inclusion,1.0
8695,Philippe DUJARDIN,Temps,2.0
8697,Philippe DUJARDIN,Transition,1.0
8706,Philippe DUJARDIN,Solidarité,1.0
8707,Philippe DUJARDIN,Valeurs,4.0
8708,Philippe DUJARDIN,Économie,2.0
8715,Philippe DUJARDIN,Cohésion sociale,2.0
8720,Philippe DUJARDIN,Santé,1.0
8727,Philippe DUJARDIN,Service public,1.0
8744,Philippe DUJARDIN,Pensées politiques,7.0
8752,Philippe DUJARDIN,Grand Lyon,1.0
8755,Philippe DUJARDIN,Patrimoine,12.0
8756,Philippe DUJARDIN,Attractivité,1.0
8773,Philippe DUJARDIN,Démocratie,1.0
9300,Temps,Anne-Caroline JAMBAUD,2.0
9302,Temps,Benjamin  PRADEL,11.0
9314,Temps,Philippe DUJARDIN,2.0
9331,Temps,Julie JEAMMAUD,1.0
9337,Temps,Catherine PANASSIER,1.0
9352,Temps,Sylvie  MAURIS-DEMOURIOUX,3.0
9355,Temps,Emmanuelle LAMBREY,2.0
9370,Temps,Catherine FORET,4.0
9405,Temps,Isabelle BARAUD-SERFATY,1.0
9420,Temps,Florent CHEVREAU,2.0
9421,Temps,Danielle GALEA,2.0
9422,Temps,Carine PRADELLES,2.0
9423,Temps,Maïder LAUSSUCQ,2.0
9424,Temps,Jean-Yves BOULIN,2.0
9447,Temps,Bernard PRÉEL,1.0
9492,Temps,Lucie VERCHERE,3.0
9503,Temps,Pierre DOMMERGUES,2.0
9504,Temps,Christine DELFOUR,2.0
9554,Temps,Marc BESSIN,1.0
9564,Temps,Bruno MARZLOFF,3.0
9592,Temps,Gilles FINCHELSTEIN,1.0
9623,Temps,"CES - CONSEIL ÉCONOMIQUE, SOCIAL",1.0
9685,Temps,François GUERY,1.0
9702,Temps,Guillaume POITRINAL,1.0
9703,Temps,Camille PERRET,3.0
9708,Temps,Benoît MEYRONIN,1.0
9799,Temps,Jean-Michel DELEUIL,1.0
9804,Temps,Edmond HERVÉ,1.0
9813,Temps,Sophie BOISSARD,1.0
9848,Temps,Claude BREVAN,1.0
9849,Temps,Dominique LAROUSSE,1.0
9858,Temps,Cyrille HARPET,1.0
9867,Temps,Didier LIVIO,1.0
9894,Temps,Paul ARIÈS,1.0
9923,Aurélien BOUTAUD,Inclusion,1.0
9924,Aurélien BOUTAUD,Clivages,18.0
9932,Aurélien BOUTAUD,Travail,1.0
9933,Aurélien BOUTAUD,Entreprise,1.0
9937,Aurélien BOUTAUD,Transition,47.0
9938,Aurélien BOUTAUD,Climat,33.0
9940,Aurélien BOUTAUD,Numérique,6.0
9941,Aurélien BOUTAUD,Usage,6.0
9943,Aurélien BOUTAUD,Innovation,1.0
9946,Aurélien BOUTAUD,Solidarité,2.0
9947,Aurélien BOUTAUD,Valeurs,3.0
9948,Aurélien BOUTAUD,Économie,47.0
9950,Aurélien BOUTAUD,Cadre de vie,37.0
9953,Aurélien BOUTAUD,Veille M3,44.0
9955,Aurélien BOUTAUD,Cohésion sociale,15.0
9956,Aurélien BOUTAUD,Biodiversité,51.0
9958,Aurélien BOUTAUD,Politique de la ville,2.0
9960,Aurélien BOUTAUD,Santé,16.0
9963,Aurélien BOUTAUD,Ressources,62.0
9964,Aurélien BOUTAUD,Prospective,20.0
9965,Aurélien BOUTAUD,Éducation,1.0
9966,Aurélien BOUTAUD,Mobilité,1.0
9967,Aurélien BOUTAUD,Service public,18.0
9976,Aurélien BOUTAUD,International,3.0
9981,Aurélien BOUTAUD,Institution,6.0
9989,Aurélien BOUTAUD,Évaluation,18.0
9991,Aurélien BOUTAUD,Urbanisme,18.0
10007,Aurélien BOUTAUD,Développement durable,20.0
10028,Aurélien BOUTAUD,Management,1.0
10055,Aurélien BOUTAUD,Social,1.0
10069,Aurélien BOUTAUD,Concertation,3.0
10086,Aurélien BOUTAUD,Sport,5.0
10096,Aurélien BOUTAUD,Sécurité,3.0
10153,Aurélien BOUTAUD,Action publique,5.0
10542,Transition,Benjamin  PRADEL,8.0
10546,Transition,Boris CHABANEL,29.0
10547,Transition,Catherine DEBRAND,8.0
10548,Transition,Emile HOOGE,6.0
10550,Transition,Ludovic VIÉVARD,11.0
10551,Transition,Eve DENJEAN,9.0
10554,Transition,Philippe DUJARDIN,1.0
10556,Transition,Aurélien BOUTAUD,47.0
10562,Transition,Nicolas NOVA,2.0
10564,Transition,Claire HARPET,4.0
10565,Transition,Philippe JURY,5.0
10577,Transition,Catherine PANASSIER,1.0
10579,Transition,Caroline JANUEL,58.0
10589,Transition,Nicolas LEPRÊTRE,5.0
10592,Transition,Sylvie  MAURIS-DEMOURIOUX,6.0
10593,Transition,Julien CASALS,10.0
10603,Transition,Geoffroy BING,2.0
10620,Transition,Alexandre MONNIN,5.0
10626,Transition,Arthur GRIMONPONT,6.0
10631,Transition,Nicolas JOURNO,6.0
10632,Transition,Claire MARQUET,6.0
10638,Transition,Eddy MAAROUFI,3.0
10639,Transition,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,6.0
10640,Transition,Lucas PIESSAT,17.0
10641,Transition,Gauthier BRAVAIS,10.0
10644,Transition,Caroline HAMON,35.0
10645,Transition,Isabelle BARAUD-SERFATY,1.0
10651,Transition,Quentin ZARAGORI,17.0
