,source,target,values
145,Transition,Jeunesse,1.0
147,Transition,Recherche,1.0
148,Transition,Handicap,1.0
149,Transition,Travail,1.0
151,Transition,Démocratie,1.0
152,Transition,Développement durable,4.0
155,Transition,Évaluation,1.0
157,Transition,Finance,1.0
158,Transition,International,7.0
159,Transition,Action publique,3.0
160,Transition,Revue M3,1.0
165,Innovation,Mobilité,15.0
167,Innovation,Transition,7.0
168,Innovation,Citoyenneté,2.0
169,Innovation,Grand Lyon,18.0
170,Innovation,Économie,21.0
171,Innovation,Solidarité,6.0
172,Innovation,Inclusion,5.0
173,Innovation,Ressources,2.0
174,Innovation,Temps,1.0
175,Innovation,Politique de la ville,4.0
176,Innovation,Urbanisme,9.0
177,Innovation,Usage,26.0
178,Innovation,Service public,33.0
179,Innovation,Valeurs,2.0
180,Innovation,Cadre de vie,3.0
182,Innovation,Prospective,7.0
183,Innovation,Pensées politiques,1.0
184,Innovation,Numérique,57.0
186,Innovation,Entreprise,53.0
188,Innovation,Institution,3.0
189,Innovation,Patrimoine,6.0
190,Innovation,Concertation,1.0
192,Innovation,Culture,12.0
194,Innovation,Cohésion sociale,1.0
195,Innovation,Santé,13.0
196,Innovation,Social,11.0
197,Innovation,Insertion,1.0
199,Innovation,Éducation,6.0
200,Innovation,Jeunesse,2.0
202,Innovation,Recherche,15.0
203,Innovation,Handicap,5.0
204,Innovation,Travail,12.0
205,Innovation,Attractivité,3.0
206,Innovation,Démocratie,2.0
208,Innovation,Management,7.0
209,Innovation,Data,13.0
210,Innovation,Évaluation,3.0
211,Innovation,Laïcité,2.0
212,Innovation,Finance,1.0
213,Innovation,International,5.0
216,Innovation,Personnes âgées,4.0
221,Citoyenneté,Climat,1.0
222,Citoyenneté,Transition,4.0
223,Citoyenneté,Innovation,2.0
224,Citoyenneté,Grand Lyon,2.0
225,Citoyenneté,Économie,2.0
226,Citoyenneté,Solidarité,4.0
227,Citoyenneté,Inclusion,8.0
230,Citoyenneté,Politique de la ville,3.0
232,Citoyenneté,Usage,1.0
233,Citoyenneté,Service public,4.0
234,Citoyenneté,Valeurs,4.0
235,Citoyenneté,Cadre de vie,5.0
236,Citoyenneté,Pauvreté,2.0
237,Citoyenneté,Prospective,3.0
239,Citoyenneté,Numérique,1.0
241,Citoyenneté,Entreprise,1.0
242,Citoyenneté,Veille M3,1.0
243,Citoyenneté,Institution,7.0
244,Citoyenneté,Patrimoine,1.0
245,Citoyenneté,Concertation,7.0
246,Citoyenneté,Justice,2.0
247,Citoyenneté,Culture,3.0
248,Citoyenneté,Clivages,5.0
249,Citoyenneté,Cohésion sociale,8.0
250,Citoyenneté,Santé,3.0
252,Citoyenneté,Insertion,1.0
254,Citoyenneté,Éducation,3.0
255,Citoyenneté,Jeunesse,3.0
257,Citoyenneté,Recherche,2.0
258,Citoyenneté,Handicap,2.0
259,Citoyenneté,Travail,1.0
261,Citoyenneté,Démocratie,18.0
267,Citoyenneté,Finance,1.0
268,Citoyenneté,International,4.0
272,Citoyenneté,Sécurité,1.0
275,Grand Lyon,Mobilité,10.0
276,Grand Lyon,Climat,10.0
277,Grand Lyon,Transition,11.0
278,Grand Lyon,Innovation,18.0
279,Grand Lyon,Citoyenneté,2.0
280,Grand Lyon,Économie,3.0
281,Grand Lyon,Solidarité,7.0
282,Grand Lyon,Inclusion,2.0
283,Grand Lyon,Ressources,2.0
284,Grand Lyon,Temps,3.0
285,Grand Lyon,Politique de la ville,7.0
286,Grand Lyon,Urbanisme,10.0
287,Grand Lyon,Usage,1.0
288,Grand Lyon,Service public,15.0
289,Grand Lyon,Valeurs,6.0
290,Grand Lyon,Cadre de vie,19.0
292,Grand Lyon,Prospective,10.0
294,Grand Lyon,Numérique,4.0
295,Grand Lyon,Biodiversité,9.0
296,Grand Lyon,Entreprise,6.0
298,Grand Lyon,Institution,31.0
299,Grand Lyon,Patrimoine,17.0
300,Grand Lyon,Concertation,1.0
302,Grand Lyon,Culture,18.0
303,Grand Lyon,Clivages,2.0
304,Grand Lyon,Cohésion sociale,1.0
305,Grand Lyon,Santé,5.0
306,Grand Lyon,Social,2.0
307,Grand Lyon,Insertion,1.0
309,Grand Lyon,Éducation,2.0
310,Grand Lyon,Jeunesse,3.0
312,Grand Lyon,Recherche,17.0
314,Grand Lyon,Travail,5.0
315,Grand Lyon,Attractivité,25.0
316,Grand Lyon,Démocratie,2.0
318,Grand Lyon,Management,1.0
320,Grand Lyon,Évaluation,1.0
321,Grand Lyon,Laïcité,1.0
322,Grand Lyon,Finance,2.0
323,Grand Lyon,International,19.0
324,Grand Lyon,Action publique,2.0
327,Grand Lyon,Sécurité,2.0
328,Grand Lyon,Égalité,1.0
330,Économie,Mobilité,3.0
332,Économie,Transition,36.0
333,Économie,Innovation,21.0
334,Économie,Citoyenneté,2.0
335,Économie,Grand Lyon,3.0
336,Économie,Solidarité,15.0
337,Économie,Inclusion,2.0
338,Économie,Ressources,16.0
339,Économie,Temps,2.0
341,Économie,Urbanisme,1.0
342,Économie,Usage,6.0
343,Économie,Service public,3.0
344,Économie,Valeurs,4.0
345,Économie,Cadre de vie,4.0
346,Économie,Pauvreté,1.0
347,Économie,Prospective,6.0
349,Économie,Numérique,6.0
350,Économie,Biodiversité,6.0
351,Économie,Entreprise,30.0
352,Économie,Veille M3,2.0
353,Économie,Institution,7.0
354,Économie,Patrimoine,4.0
357,Économie,Culture,3.0
359,Économie,Cohésion sociale,1.0
360,Économie,Santé,4.0
361,Économie,Social,5.0
362,Économie,Insertion,4.0
364,Économie,Éducation,3.0
367,Économie,Recherche,3.0
368,Économie,Handicap,1.0
369,Économie,Travail,7.0
370,Économie,Attractivité,11.0
371,Économie,Démocratie,1.0
372,Économie,Développement durable,2.0
373,Économie,Management,1.0
374,Économie,Data,2.0
375,Économie,Évaluation,2.0
376,Économie,Laïcité,1.0
377,Économie,Finance,5.0
378,Économie,International,3.0
382,Économie,Sécurité,1.0
385,Solidarité,Mobilité,3.0
387,Solidarité,Transition,4.0
388,Solidarité,Innovation,6.0
389,Solidarité,Citoyenneté,4.0
390,Solidarité,Grand Lyon,7.0
391,Solidarité,Économie,15.0
392,Solidarité,Inclusion,55.0
393,Solidarité,Ressources,3.0
395,Solidarité,Politique de la ville,3.0
397,Solidarité,Usage,2.0
398,Solidarité,Service public,9.0
399,Solidarité,Valeurs,14.0
400,Solidarité,Cadre de vie,5.0
401,Solidarité,Pauvreté,13.0
402,Solidarité,Prospective,2.0
403,Solidarité,Pensées politiques,3.0
404,Solidarité,Numérique,3.0
405,Solidarité,Biodiversité,2.0
406,Solidarité,Entreprise,1.0
407,Solidarité,Veille M3,1.0
408,Solidarité,Institution,5.0
409,Solidarité,Patrimoine,3.0
410,Solidarité,Concertation,1.0
412,Solidarité,Culture,1.0
414,Solidarité,Cohésion sociale,6.0
415,Solidarité,Santé,9.0
416,Solidarité,Social,15.0
417,Solidarité,Insertion,2.0
419,Solidarité,Éducation,8.0
420,Solidarité,Jeunesse,1.0
421,Solidarité,Sport,2.0
422,Solidarité,Recherche,3.0
423,Solidarité,Handicap,6.0
424,Solidarité,Travail,6.0
425,Solidarité,Attractivité,1.0
426,Solidarité,Démocratie,3.0
428,Solidarité,Management,2.0
430,Solidarité,Évaluation,2.0
431,Solidarité,Laïcité,3.0
432,Solidarité,Finance,9.0
433,Solidarité,International,11.0
436,Solidarité,Personnes âgées,4.0
438,Solidarité,Égalité,1.0
442,Inclusion,Transition,1.0
443,Inclusion,Innovation,5.0
444,Inclusion,Citoyenneté,8.0
445,Inclusion,Grand Lyon,2.0
446,Inclusion,Économie,2.0
447,Inclusion,Solidarité,55.0
450,Inclusion,Politique de la ville,21.0
451,Inclusion,Urbanisme,2.0
452,Inclusion,Usage,1.0
453,Inclusion,Service public,3.0
454,Inclusion,Valeurs,8.0
455,Inclusion,Cadre de vie,8.0
456,Inclusion,Pauvreté,18.0
457,Inclusion,Prospective,2.0
459,Inclusion,Numérique,3.0
461,Inclusion,Entreprise,1.0
462,Inclusion,Veille M3,1.0
463,Inclusion,Institution,4.0
464,Inclusion,Patrimoine,2.0
465,Inclusion,Concertation,1.0
466,Inclusion,Justice,2.0
467,Inclusion,Culture,3.0
468,Inclusion,Clivages,6.0
469,Inclusion,Cohésion sociale,19.0
470,Inclusion,Santé,11.0
471,Inclusion,Social,3.0
472,Inclusion,Insertion,2.0
474,Inclusion,Éducation,9.0
476,Inclusion,Sport,1.0
477,Inclusion,Recherche,4.0
478,Inclusion,Handicap,24.0
479,Inclusion,Travail,8.0
480,Inclusion,Attractivité,1.0
481,Inclusion,Démocratie,3.0
485,Inclusion,Évaluation,2.0
486,Inclusion,Laïcité,7.0
488,Inclusion,International,27.0
491,Inclusion,Personnes âgées,3.0
492,Inclusion,Sécurité,1.0
493,Inclusion,Égalité,1.0
495,Ressources,Mobilité,2.0
496,Ressources,Climat,9.0
497,Ressources,Transition,11.0
498,Ressources,Innovation,2.0
500,Ressources,Grand Lyon,2.0
501,Ressources,Économie,16.0
502,Ressources,Solidarité,3.0
506,Ressources,Urbanisme,6.0
507,Ressources,Usage,7.0
508,Ressources,Service public,9.0
509,Ressources,Valeurs,5.0
510,Ressources,Cadre de vie,16.0
512,Ressources,Prospective,4.0
514,Ressources,Numérique,3.0
515,Ressources,Biodiversité,24.0
517,Ressources,Veille M3,17.0
518,Ressources,Institution,3.0
519,Ressources,Patrimoine,8.0
520,Ressources,Concertation,2.0
521,Ressources,Justice,3.0
522,Ressources,Culture,2.0
525,Ressources,Santé,1.0
529,Ressources,Éducation,1.0
531,Ressources,Sport,1.0
532,Ressources,Recherche,3.0
535,Ressources,Attractivité,2.0
536,Ressources,Démocratie,1.0
537,Ressources,Développement durable,2.0
540,Ressources,Évaluation,3.0
543,Ressources,International,1.0
550,Temps,Mobilité,12.0
553,Temps,Innovation,1.0
555,Temps,Grand Lyon,3.0
556,Temps,Économie,2.0
560,Temps,Politique de la ville,3.0
561,Temps,Urbanisme,8.0
562,Temps,Usage,1.0
563,Temps,Service public,4.0
565,Temps,Cadre de vie,3.0
567,Temps,Prospective,1.0
569,Temps,Numérique,3.0
571,Temps,Entreprise,2.0
574,Temps,Patrimoine,1.0
577,Temps,Culture,2.0
580,Temps,Santé,1.0
584,Temps,Éducation,2.0
585,Temps,Jeunesse,1.0
587,Temps,Recherche,1.0
589,Temps,Travail,5.0
598,Temps,International,2.0
605,Politique de la ville,Mobilité,5.0
606,Politique de la ville,Climat,1.0
607,Politique de la ville,Transition,2.0
608,Politique de la ville,Innovation,4.0
609,Politique de la ville,Citoyenneté,3.0
610,Politique de la ville,Grand Lyon,7.0
612,Politique de la ville,Solidarité,3.0
613,Politique de la ville,Inclusion,21.0
615,Politique de la ville,Temps,3.0
616,Politique de la ville,Urbanisme,19.0
617,Politique de la ville,Usage,5.0
618,Politique de la ville,Service public,2.0
620,Politique de la ville,Cadre de vie,3.0
624,Politique de la ville,Numérique,9.0
625,Politique de la ville,Biodiversité,1.0
628,Politique de la ville,Institution,6.0
629,Politique de la ville,Patrimoine,1.0
630,Politique de la ville,Concertation,1.0
631,Politique de la ville,Justice,1.0
632,Politique de la ville,Culture,8.0
633,Politique de la ville,Clivages,1.0
634,Politique de la ville,Cohésion sociale,7.0
635,Politique de la ville,Santé,1.0
638,Politique de la ville,Genre,2.0
640,Politique de la ville,Jeunesse,2.0
645,Politique de la ville,Attractivité,1.0
650,Politique de la ville,Évaluation,1.0
651,Politique de la ville,Laïcité,1.0
653,Politique de la ville,International,3.0
658,Politique de la ville,Égalité,1.0
660,Urbanisme,Mobilité,23.0
661,Urbanisme,Climat,3.0
662,Urbanisme,Transition,3.0
663,Urbanisme,Innovation,9.0
665,Urbanisme,Grand Lyon,10.0
666,Urbanisme,Économie,1.0
668,Urbanisme,Inclusion,2.0
669,Urbanisme,Ressources,6.0
670,Urbanisme,Temps,8.0
671,Urbanisme,Politique de la ville,19.0
672,Urbanisme,Usage,13.0
673,Urbanisme,Service public,16.0
674,Urbanisme,Valeurs,1.0
675,Urbanisme,Cadre de vie,33.0
677,Urbanisme,Prospective,5.0
679,Urbanisme,Numérique,8.0
680,Urbanisme,Biodiversité,12.0
681,Urbanisme,Entreprise,4.0
683,Urbanisme,Institution,5.0
684,Urbanisme,Patrimoine,7.0
685,Urbanisme,Concertation,5.0
686,Urbanisme,Justice,1.0
687,Urbanisme,Culture,5.0
689,Urbanisme,Cohésion sociale,3.0
690,Urbanisme,Santé,9.0
693,Urbanisme,Genre,4.0
694,Urbanisme,Éducation,2.0
695,Urbanisme,Jeunesse,1.0
696,Urbanisme,Sport,1.0
697,Urbanisme,Recherche,2.0
700,Urbanisme,Attractivité,4.0
701,Urbanisme,Démocratie,2.0
703,Urbanisme,Management,1.0
704,Urbanisme,Data,1.0
706,Urbanisme,Laïcité,1.0
708,Urbanisme,International,11.0
712,Urbanisme,Sécurité,2.0
713,Urbanisme,Égalité,1.0
715,Usage,Mobilité,7.0
717,Usage,Transition,2.0
718,Usage,Innovation,26.0
719,Usage,Citoyenneté,1.0
720,Usage,Grand Lyon,1.0
721,Usage,Économie,6.0
722,Usage,Solidarité,2.0
723,Usage,Inclusion,1.0
724,Usage,Ressources,7.0
725,Usage,Temps,1.0
726,Usage,Politique de la ville,5.0
727,Usage,Urbanisme,13.0
728,Usage,Service public,50.0
729,Usage,Valeurs,5.0
730,Usage,Cadre de vie,9.0
732,Usage,Prospective,4.0
734,Usage,Numérique,34.0
735,Usage,Biodiversité,1.0
736,Usage,Entreprise,3.0
738,Usage,Institution,2.0
739,Usage,Patrimoine,1.0
741,Usage,Justice,1.0
742,Usage,Culture,3.0
745,Usage,Santé,2.0
746,Usage,Social,4.0
749,Usage,Éducation,3.0
752,Usage,Recherche,3.0
753,Usage,Handicap,2.0
754,Usage,Travail,3.0
758,Usage,Management,1.0
759,Usage,Data,1.0
760,Usage,Évaluation,4.0
761,Usage,Laïcité,4.0
762,Usage,Finance,3.0
766,Usage,Personnes âgées,2.0
770,Service public,Mobilité,10.0
771,Service public,Climat,4.0
772,Service public,Transition,4.0
773,Service public,Innovation,33.0
774,Service public,Citoyenneté,4.0
775,Service public,Grand Lyon,15.0
776,Service public,Économie,3.0
777,Service public,Solidarité,9.0
778,Service public,Inclusion,3.0
779,Service public,Ressources,9.0
780,Service public,Temps,4.0
781,Service public,Politique de la ville,2.0
782,Service public,Urbanisme,16.0
783,Service public,Usage,50.0
784,Service public,Valeurs,2.0
785,Service public,Cadre de vie,9.0
787,Service public,Prospective,10.0
788,Service public,Pensées politiques,1.0
789,Service public,Numérique,13.0
790,Service public,Biodiversité,4.0
791,Service public,Entreprise,6.0
792,Service public,Veille M3,1.0
793,Service public,Institution,9.0
794,Service public,Patrimoine,2.0
795,Service public,Concertation,3.0
796,Service public,Justice,1.0
798,Service public,Clivages,1.0
799,Service public,Cohésion sociale,2.0
800,Service public,Santé,8.0
801,Service public,Social,9.0
804,Service public,Éducation,3.0
805,Service public,Jeunesse,2.0
808,Service public,Handicap,1.0
809,Service public,Travail,11.0
810,Service public,Attractivité,2.0
811,Service public,Démocratie,10.0
813,Service public,Management,7.0
814,Service public,Data,9.0
815,Service public,Évaluation,10.0
816,Service public,Laïcité,5.0
817,Service public,Finance,4.0
821,Service public,Personnes âgées,1.0
822,Service public,Sécurité,1.0
825,Valeurs,Mobilité,1.0
827,Valeurs,Transition,9.0
828,Valeurs,Innovation,2.0
829,Valeurs,Citoyenneté,4.0
830,Valeurs,Grand Lyon,6.0
831,Valeurs,Économie,4.0
832,Valeurs,Solidarité,14.0
833,Valeurs,Inclusion,8.0
834,Valeurs,Ressources,5.0
837,Valeurs,Urbanisme,1.0
838,Valeurs,Usage,5.0
839,Valeurs,Service public,2.0
840,Valeurs,Cadre de vie,7.0
842,Valeurs,Prospective,6.0
843,Valeurs,Pensées politiques,8.0
844,Valeurs,Numérique,2.0
845,Valeurs,Biodiversité,3.0
847,Valeurs,Veille M3,2.0
848,Valeurs,Institution,3.0
849,Valeurs,Patrimoine,29.0
850,Valeurs,Concertation,1.0
851,Valeurs,Justice,3.0
852,Valeurs,Culture,6.0
853,Valeurs,Clivages,5.0
854,Valeurs,Cohésion sociale,9.0
855,Valeurs,Santé,5.0
856,Valeurs,Social,2.0
859,Valeurs,Éducation,8.0
860,Valeurs,Jeunesse,2.0
861,Valeurs,Sport,1.0
862,Valeurs,Recherche,2.0
864,Valeurs,Travail,6.0
865,Valeurs,Attractivité,8.0
866,Valeurs,Démocratie,5.0
867,Valeurs,Développement durable,2.0
870,Valeurs,Évaluation,1.0
871,Valeurs,Laïcité,8.0
872,Valeurs,Finance,1.0
873,Valeurs,International,2.0
877,Valeurs,Sécurité,1.0
880,Cadre de vie,Mobilité,13.0
881,Cadre de vie,Climat,13.0
882,Cadre de vie,Transition,18.0
883,Cadre de vie,Innovation,3.0
884,Cadre de vie,Citoyenneté,5.0
885,Cadre de vie,Grand Lyon,19.0
886,Cadre de vie,Économie,4.0
887,Cadre de vie,Solidarité,5.0
888,Cadre de vie,Inclusion,8.0
889,Cadre de vie,Ressources,16.0
890,Cadre de vie,Temps,3.0
891,Cadre de vie,Politique de la ville,3.0
892,Cadre de vie,Urbanisme,33.0
893,Cadre de vie,Usage,9.0
894,Cadre de vie,Service public,9.0
895,Cadre de vie,Valeurs,7.0
896,Cadre de vie,Pauvreté,1.0
897,Cadre de vie,Prospective,2.0
899,Cadre de vie,Numérique,3.0
900,Cadre de vie,Biodiversité,39.0
901,Cadre de vie,Entreprise,2.0
902,Cadre de vie,Veille M3,1.0
903,Cadre de vie,Institution,3.0
904,Cadre de vie,Patrimoine,9.0
905,Cadre de vie,Concertation,5.0
906,Cadre de vie,Justice,2.0
907,Cadre de vie,Culture,4.0
908,Cadre de vie,Clivages,2.0
909,Cadre de vie,Cohésion sociale,4.0
910,Cadre de vie,Santé,14.0
911,Cadre de vie,Social,1.0
914,Cadre de vie,Éducation,6.0
915,Cadre de vie,Jeunesse,7.0
916,Cadre de vie,Sport,1.0
918,Cadre de vie,Handicap,12.0
919,Cadre de vie,Travail,2.0
920,Cadre de vie,Attractivité,5.0
925,Cadre de vie,Évaluation,2.0
926,Cadre de vie,Laïcité,2.0
927,Cadre de vie,Finance,1.0
928,Cadre de vie,International,3.0
931,Cadre de vie,Personnes âgées,3.0
932,Cadre de vie,Sécurité,4.0
939,Pauvreté,Citoyenneté,2.0
941,Pauvreté,Économie,1.0
942,Pauvreté,Solidarité,13.0
943,Pauvreté,Inclusion,18.0
951,Pauvreté,Cadre de vie,1.0
958,Pauvreté,Institution,1.0
963,Pauvreté,Clivages,2.0
965,Pauvreté,Santé,1.0
967,Pauvreté,Insertion,1.0
968,Pauvreté,Genre,1.0
970,Pauvreté,Jeunesse,1.0
980,Pauvreté,Évaluation,1.0
990,Prospective,Mobilité,2.0
991,Prospective,Climat,1.0
992,Prospective,Transition,2.0
993,Prospective,Innovation,7.0
994,Prospective,Citoyenneté,3.0
995,Prospective,Grand Lyon,10.0
996,Prospective,Économie,6.0
997,Prospective,Solidarité,2.0
998,Prospective,Inclusion,2.0
999,Prospective,Ressources,4.0
1000,Prospective,Temps,1.0
1002,Prospective,Urbanisme,5.0
1003,Prospective,Usage,4.0
1004,Prospective,Service public,10.0
1005,Prospective,Valeurs,6.0
1006,Prospective,Cadre de vie,2.0
1009,Prospective,Numérique,7.0
1010,Prospective,Biodiversité,3.0
1012,Prospective,Veille M3,6.0
1013,Prospective,Institution,3.0
1015,Prospective,Concertation,3.0
1017,Prospective,Culture,10.0
1019,Prospective,Cohésion sociale,3.0
1020,Prospective,Santé,4.0
1021,Prospective,Social,1.0
1022,Prospective,Insertion,1.0
1024,Prospective,Éducation,5.0
1025,Prospective,Jeunesse,4.0
1027,Prospective,Recherche,3.0
1029,Prospective,Travail,7.0
1030,Prospective,Attractivité,2.0
1031,Prospective,Démocratie,7.0
1034,Prospective,Data,1.0
1035,Prospective,Évaluation,10.0
1036,Prospective,Laïcité,2.0
1041,Prospective,Personnes âgées,2.0
1042,Prospective,Sécurité,2.0
1047,Pensées politiques,Transition,1.0
1048,Pensées politiques,Innovation,1.0
1052,Pensées politiques,Solidarité,3.0
1059,Pensées politiques,Service public,1.0
1060,Pensées politiques,Valeurs,8.0
1068,Pensées politiques,Institution,1.0
1069,Pensées politiques,Patrimoine,2.0
1074,Pensées politiques,Cohésion sociale,2.0
1076,Pensées politiques,Social,1.0
1086,Pensées politiques,Démocratie,4.0
1090,Pensées politiques,Évaluation,1.0
1091,Pensées politiques,Laïcité,1.0
1093,Pensées politiques,International,2.0
1100,Numérique,Mobilité,7.0
1102,Numérique,Transition,3.0
1103,Numérique,Innovation,57.0
1104,Numérique,Citoyenneté,1.0
1105,Numérique,Grand Lyon,4.0
1106,Numérique,Économie,6.0
1107,Numérique,Solidarité,3.0
1108,Numérique,Inclusion,3.0
1109,Numérique,Ressources,3.0
1110,Numérique,Temps,3.0
1111,Numérique,Politique de la ville,9.0
1112,Numérique,Urbanisme,8.0
1113,Numérique,Usage,34.0
1114,Numérique,Service public,13.0
1115,Numérique,Valeurs,2.0
1116,Numérique,Cadre de vie,3.0
1118,Numérique,Prospective,7.0
1121,Numérique,Entreprise,8.0
1122,Numérique,Veille M3,14.0
1123,Numérique,Institution,5.0
1124,Numérique,Patrimoine,8.0
1125,Numérique,Concertation,1.0
1127,Numérique,Culture,22.0
1129,Numérique,Cohésion sociale,2.0
1130,Numérique,Santé,3.0
1131,Numérique,Social,2.0
1134,Numérique,Éducation,17.0
1135,Numérique,Jeunesse,13.0
1137,Numérique,Recherche,14.0
1138,Numérique,Handicap,3.0
1139,Numérique,Travail,6.0
1140,Numérique,Attractivité,2.0
1141,Numérique,Démocratie,4.0
1143,Numérique,Management,1.0
1144,Numérique,Data,12.0
1146,Numérique,Laïcité,1.0
1148,Numérique,International,5.0
1151,Numérique,Personnes âgées,1.0
1155,Biodiversité,Mobilité,1.0
1156,Biodiversité,Climat,6.0
1157,Biodiversité,Transition,10.0
1160,Biodiversité,Grand Lyon,9.0
1161,Biodiversité,Économie,6.0
1162,Biodiversité,Solidarité,2.0
1164,Biodiversité,Ressources,24.0
1166,Biodiversité,Politique de la ville,1.0
1167,Biodiversité,Urbanisme,12.0
1168,Biodiversité,Usage,1.0
1169,Biodiversité,Service public,4.0
1170,Biodiversité,Valeurs,3.0
1171,Biodiversité,Cadre de vie,39.0
1173,Biodiversité,Prospective,3.0
1177,Biodiversité,Veille M3,1.0
1178,Biodiversité,Institution,4.0
1179,Biodiversité,Patrimoine,3.0
1181,Biodiversité,Justice,1.0
1182,Biodiversité,Culture,2.0
1185,Biodiversité,Santé,9.0
1186,Biodiversité,Social,1.0
1189,Biodiversité,Éducation,4.0
1192,Biodiversité,Recherche,5.0
1195,Biodiversité,Attractivité,1.0
1200,Biodiversité,Évaluation,3.0
1201,Biodiversité,Laïcité,1.0
1203,Biodiversité,International,2.0
1207,Biodiversité,Sécurité,1.0
1210,Entreprise,Mobilité,2.0
1212,Entreprise,Transition,2.0
1213,Entreprise,Innovation,53.0
1214,Entreprise,Citoyenneté,1.0
1215,Entreprise,Grand Lyon,6.0
1216,Entreprise,Économie,30.0
1217,Entreprise,Solidarité,1.0
1218,Entreprise,Inclusion,1.0
1220,Entreprise,Temps,2.0
1222,Entreprise,Urbanisme,4.0
1223,Entreprise,Usage,3.0
1224,Entreprise,Service public,6.0
1226,Entreprise,Cadre de vie,2.0
1230,Entreprise,Numérique,8.0
1233,Entreprise,Institution,2.0
1234,Entreprise,Patrimoine,3.0
1237,Entreprise,Culture,3.0
1239,Entreprise,Cohésion sociale,1.0
1240,Entreprise,Santé,12.0
1241,Entreprise,Social,1.0
1242,Entreprise,Insertion,3.0
1244,Entreprise,Éducation,3.0
1245,Entreprise,Jeunesse,1.0
1247,Entreprise,Recherche,3.0
1249,Entreprise,Travail,14.0
1250,Entreprise,Attractivité,12.0
1253,Entreprise,Management,3.0
1254,Entreprise,Data,1.0
1255,Entreprise,Évaluation,2.0
1257,Entreprise,Finance,4.0
1258,Entreprise,International,7.0
1266,Veille M3,Climat,2.0
1267,Veille M3,Transition,7.0
1269,Veille M3,Citoyenneté,1.0
1271,Veille M3,Économie,2.0
1272,Veille M3,Solidarité,1.0
1273,Veille M3,Inclusion,1.0
1274,Veille M3,Ressources,17.0
1279,Veille M3,Service public,1.0
1280,Veille M3,Valeurs,2.0
1281,Veille M3,Cadre de vie,1.0
1283,Veille M3,Prospective,6.0
1285,Veille M3,Numérique,14.0
1286,Veille M3,Biodiversité,1.0
1288,Veille M3,Institution,1.0
1289,Veille M3,Patrimoine,2.0
1291,Veille M3,Justice,1.0
1292,Veille M3,Culture,4.0
1294,Veille M3,Cohésion sociale,1.0
1295,Veille M3,Santé,2.0
1298,Veille M3,Genre,1.0
1301,Veille M3,Sport,6.0
1302,Veille M3,Recherche,1.0
1304,Veille M3,Travail,1.0
1306,Veille M3,Démocratie,1.0
1313,Veille M3,International,1.0
1320,Institution,Mobilité,1.0
1323,Institution,Innovation,3.0
1324,Institution,Citoyenneté,7.0
1325,Institution,Grand Lyon,31.0
1326,Institution,Économie,7.0
1327,Institution,Solidarité,5.0
1328,Institution,Inclusion,4.0
1329,Institution,Ressources,3.0
1331,Institution,Politique de la ville,6.0
